Location,BMC-Corp / BMC-AFS,Workgroup
IGATPURI,BMC-AFS,IT-INFRA-HELPDESK-IGT
KANDIVALI-FD,BMC-AFS,IT-INFRA-HELPDESK-KND FD
NASHIK,BMC-AFS,IT-INFRA-HELPDESK-NSK
JAIPUR PLANT,BMC-AFS,IT-INFRA-HELPDESK-JPR PLT
RUDRAPUR,BMC-AFS,IT-INFRA-HELPDESK-RDP
KANDIVALI-AD,BMC-AFS,IT-INFRA-HELPDESK-KND AD
ZAHEERABAD-AD,BMC-AFS,IT-INFRA-HELPDESK-ZAH AD
ZAHEERABAD-FD,BMC-AFS,IT-INFRA-HELPDESK-ZAH FD
HARIDWAR,BMC-AFS,IT-INFRA-HELPDESK-HRD
NAGPUR,BMC-AFS,IT-INFRA-HELPDESK-NGP
WORLI-AS,BMC-AFS,IT-INFRA-HELPDESK-WOR
MSB-HYD,BMC-AFS,IT-INFRA-HELPDESK-HYD MSB
MSB-CHAKAN,BMC-AFS,IT-INFRA-HELPDESK-CHAKAN MSB
MTWD-CHINCHWAD,BMC-AFS,IT-INFRA-HELPDESK-CHW MTWL
MSB-KANHE,BMC-AFS,IT-INFRA-HELPDESK-KNH MSB
MVML-CHAKAN,BMC-AFS,IT-INFRA-HELPDESK-CHK MVML
MTBD,BMC-AFS,IT-INFRA-HELPDESK-CHW-MTBD
MSB-BHW,BMC-AFS,IT-INFRA-HELPDESK-BHW MSB
MSB-JAIPUR,BMC-AFS,IT-INFRA-HELPDESK-JPR MSB
MSB-NASHIK,BMC-AFS,IT-INFRA-HELPDESK-NSK MSB
MSB-VAD,BMC-AFS,IT-INFRA-HELPDESK-VAD MSB
MTWD-PIT,BMC-AFS,IT-INFRA-HELPDESK-PIT MTWL
SEWALE CENTER,BMC-AFS,IT-INFRA-HELPDESK-PUN CE
MHEL-CHAKAN,BMC-AFS,IT-INFRA-HELPDESK-CHK MHEPL
CHENNAI-MRV,BMC-AFS,IT-INFRA-HELPDESK-MRV
AO-NONRE,BMC-Corp,IT-INFRA-NONRE-HELPDESK-AHMD-RSO
AO-NONRE,BMC-Corp,IT-INFRA-NONRE-HELPDESK-BARO-RSO
AO-NONRE,BMC-Corp,IT-INFRA-NONRE-HELPDESK-BHBWR-RSO
AO-NONRE,BMC-Corp,IT-INFRA-NONRE-HELPDESK-DAR-RSO
AO-NONRE,BMC-Corp,IT-INFRA-NONRE-HELPDESK-DELHI-RSO
AO-NONRE,BMC-Corp,IT-INFRA-NONRE-HELPDESK-DHAR-RSO
AO-NONRE,BMC-Corp,IT-INFRA-NONRE-HELPDESK-GOA-RSO
AO-NONRE,BMC-Corp,IT-INFRA-NONRE-HELPDESK-GUWT-RSO
AO-NONRE,BMC-Corp,IT-INFRA-NONRE-HELPDESK-GUNT-RSO
